trial,alpha,hybrid_makespan,upward_makespan,improvement_percent,num_tasks,num_edges,task_edge_ratio
1,0.2,3.455944851474859,3.455944851474859,0.0,4,4,1.0
2,0.2,4.298620562013675,4.298620562013675,0.0,5,6,0.8333333333333334
3,0.2,6.1463813541575,5.537969737619148,-10.98618528746089,14,21,0.6666666666666666
4,0.2,5.488793808648147,5.3133642721469485,-3.301665903480646,8,10,0.8
5,0.2,3.412847096759739,3.41284709619239,-1.662392901520232e-08,5,6,0.8333333333333334
6,0.2,7.420199587258174,6.916736407045317,-7.278912345134833,14,21,0.6666666666666666
7,0.2,4.030283005417424,4.030283005417424,0.0,5,6,0.8333333333333334
8,0.2,3.453397582295058,3.453397582295058,0.0,4,4,1.0
9,0.2,3.9021694409688195,3.9021694409688195,0.0,5,6,0.8333333333333334
10,0.2,2.0731343518593937,2.0731343514614484,-1.9195342165916172e-08,5,6,0.8333333333333334
